Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
BRANCHES,DateModified,DATE,Ngày sửa,,
BRANCHES,ModifyBy,NVARCHAR2(300),Người sửa,,
BRCHBUP,Id,RAW(16),Mã ID lịch sử CN/VPĐD QLQ trong nước (PK),PK,
BRCHBUP,SecHsId,RAW(16),Mã ID lịch sử công ty QLQ. FK → SECHISTORY.Id,FK,FK → SECHISTORY.Id
BRCHBUP,ActiveDate,DATE,Ngày chính thức hoạt động,,
BRCHBUP,StopDate,DATE,Ngày đóng cửa CN/VPĐD,,
BRCHBUP,SecRealActiveDate,DATE,Ngày chính thức hoạt động thực tế,,
BRCHBUP,Name,NVARCHAR2(3000),Tên chi nhánh/VPĐD,,
BRCHBUP,SecCapital,NUMBER(22),Vốn điều lệ,,
BRCHBUP,Deleted,NUMBER(22),Trạng thái bản ghi,,
BRCHBUP,DateCreated,DATE,Ngày tạo,,
BUSINESS,Id,RAW(16),Mã ID ngành nghề kinh doanh (PK),PK,
BUSINESS,Name,NVARCHAR2(3000),Tên ngành nghề kinh doanh,,
BUSINESS,Description,NVARCHAR2(1500),Mô tả,,
BUSINESS,IsActive,NUMBER(22),Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,,
BUSINESS,IsDeleted,NUMBER(22),Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,,
BUSINESS,CreatedBy,NVARCHAR2(300),Người tạo,,
BUSINESS,DateCreated,DATE,Ngày tạo,,
BUSINESS,DateModified,DATE,Ngày sửa,,
BUSINESS,ModifyBy,NVARCHAR2(300),Người sửa,,
CALENDAR,Id,RAW(16),Mã ID lịch hệ thống. Mã hệ thống tự sinh (PK),PK,
CALENDAR,WorkingDate,DATE,Ngày,,
CALENDAR,IsWorkingDate,NUMBER(22),Trạng thái: 1 = Làm việc; 0 = Nghỉ,,
CALENDAR,Note,NVARCHAR2(3000),Ghi chú,,
